molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL472003,c1cc(CN2CCCC2)cc(-c2nnnn2[C@H]2CO[C@@H]3C[C@@H](NCC4CCCCC4)O[C@H]23)c1,inactive,2470.0
CHEMBL472004,O=S(=O)(O)c1ccc2cc(/N=N/c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1,active,318.0
CHEMBL201515,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL541940,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nc7ccccc7nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL562059,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL576164,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6cncnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL578429,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6sc(N)nc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL582862,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6cnoc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL572899,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6cnn(-c7ccccc7)c6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL574391,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)Cc6cn[nH]c6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,inactive,40000.0
CHEMBL590043,Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,5500.0
CHEMBL590051,Cn1c(-c2ccccc2)c(-c2cn(CC(=O)Nc3ccc(N4CCOCC4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,7800.0
CHEMBL590063,Cn1c(-c2ccccc2)c(-c2cn(CC(=O)NC3c4ccccc4-c4ccccc43)nn2)c2cc(C(=O)O)c(O)cc21,inactive,10400.0
CHEMBL604717,Cn1c(-c2ccccc2)c(-c2cn(CC(=O)Nc3nc4ccccc4s3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,9100.0
CHEMBL602930,Cn1c(-c2ccccc2)c(-c2cn(CCCCC(=O)N3c4ccccc4Sc4ccccc43)nn2)c2cc(C(=O)O)c(O)cc21,inactive,8000.0
CHEMBL603136,C#Cc1c(-c2ccccc2)n(C)c2cc(O)c(C(=O)O)cc12,inactive,212000.0
CHEMBL590471,Cn1c(-c2ccccc2)c(-c2cn(CC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,9300.0
CHEMBL590043,Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,5500.0
CHEMBL597609,Cn1c(-c2ccccc2)c(-c2cn(CCCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,12000.0
CHEMBL605541,Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccccc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,86000.0
CHEMBL590043,Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,9000.0
CHEMBL590043,Cn1c(-c2ccccc2)c(-c2cn(CCC(=O)Nc3ccc(-c4ccccc4)cc3)nn2)c2cc(C(=O)O)c(O)cc21,inactive,10800.0
CHEMBL1077438,CCCCCCCCCCCCCCCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1,inactive,44000.0
CHEMBL1099219,CCCCCCCCCCCCCCCCCC(=O)c1n[nH]c2c1C(=O)N(c1ccccc1)C2=O,inactive,9590.0
CHEMBL1097720,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccccc2C(=O)O)[nH]n1,inactive,15200.0
CHEMBL1095726,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccsc2C(=O)O)[nH]n1,inactive,12200.0
CHEMBL1756,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,inactive,17100.0
CHEMBL1575,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,inactive,300000.0
CHEMBL1642763,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O,inactive,19900.0
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,inactive,300000.0
CHEMBL1642764,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCNP(=O)(N(CCCl)CCCl)O1,inactive,300000.0
CHEMBL230006,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,inactive,9600.0
CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@@]21C,inactive,3300.0
CHEMBL432519,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC(=O)[C@H](C)C[C@H]4[C@]3(C)CC[C@@]21C,inactive,61600.0
CHEMBL1667953,O=C(O)[C@H](CO)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,50000.0
CHEMBL1667954,C[C@@H](O)[C@@H](CO)n1cc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)nn1,inactive,50000.0
